Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_2 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_3 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_4 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_5 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_6 : TMD : BAGHEATERSHEHE_COLD_11LT
Element,272,Element,272,Element,272,Element,272,Element,272,Element,272
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
1190.0,-7.01973473249432,1190.0,-7.01973473249432,1190.0,-2.6738148080267865,1190.0,4.873358541913965,1190.0,4.873358541913965,1190.0,4.873358541913965
1200.0,-6.9944024743226585,1200.0,-6.9944024743226585,1200.0,-2.632409783208717,1200.0,4.956145228551071,1200.0,4.956145228551071,1200.0,4.956145228551071
1210.0,-6.9693144216407825,1210.0,-6.9693144216407825,1210.0,-2.5912791164071804,1210.0,5.038383234914204,1210.0,5.038383234914204,1210.0,5.038383234914204
1220.0,-6.944464095615587,1220.0,-6.944464095615587,1220.0,-2.5504174022336,1220.0,5.120083371876546,1220.0,5.120083371876546,1220.0,5.120083371876546
1230.0,-6.919845284738656,1230.0,-6.919845284738656,1230.0,-2.5098193905853567,1230.0,5.201256139714544,1230.0,5.201256139714544,1230.0,5.201256139714544
1240.0,-6.8954520291265995,1240.0,-6.8954520291265995,1240.0,-2.4694799804713314,1240.0,5.2819117404503375,1240.0,5.2819117404503375,1240.0,5.2819117404503375
1250.0,-6.871278606028742,1250.0,-6.871278606028742,1250.0,-2.429394214155905,1250.0,5.362060089558138,1250.0,5.362060089558138,1250.0,5.362060089558138
1260.0,-6.847319516427081,1260.0,-6.847319516427081,1260.0,-2.3895572716007654,1260.0,5.441710827074121,1260.0,5.441710827074121,1260.0,5.441710827074121
1270.0,-6.823569472627327,1270.0,-6.823569472627327,1270.0,-2.3499644651859883,1270.0,5.520873328149107,1270.0,5.520873328149107,1270.0,5.520873328149107
1280.0,-6.800023386750986,1280.0,-6.800023386750986,1280.0,-2.3106112346935292,1280.0,5.599556713076666,1280.0,5.599556713076666,1280.0,5.599556713076666
1290.0,-6.776676360048955,1290.0,-6.776676360048955,1290.0,-2.2714931425384126,1290.0,5.6777698568283865,1290.0,5.6777698568283865,1290.0,5.6777698568283865
1300.0,-6.75352367296416,1300.0,-6.75352367296416,1300.0,-2.2326058692318154,1300.0,5.7555213981272155,1300.0,5.7555213981272155,1300.0,5.7555213981272155
1310.0,-6.730560775877943,1310.0,-6.730560775877943,1310.0,-2.1939452090616927,1310.0,5.832819748086021,1310.0,5.832819748086021,1310.0,5.832819748086021
1320.0,-6.707783280482505,1320.0,-6.707783280482505,1320.0,-2.1555070659784468,1320.0,5.909673098438109,1320.0,5.909673098438109,1320.0,5.909673098438109
1330.0,-6.68518695172656,1330.0,-6.68518695172656,1330.0,-2.117287449672853,1330.0,5.986089429383293,1330.0,5.986089429383293,1330.0,5.986089429383293
1340.0,-6.662767700287887,1340.0,-6.662767700287887,1340.0,-2.0792824718352376,1340.0,6.062076517072505,1340.0,6.062076517072505,1340.0,6.062076517072505
1350.0,-6.6405215755289095,1350.0,-6.6405215755289095,1350.0,-2.0414883425850903,1350.0,6.137641940751241,1350.0,6.137641940751241,1350.0,6.137641940751241
